Allele;Frequency
HLA-A01:01;0,09664742
HLA-A01:02;0,00070725
HLA-A01:03;0,00413863
HLA-A01:06;0,00004055
HLA-A01:07;0,00000374
HLA-A01:08;0,00000022
HLA-A01:09;0,00001083
HLA-A01:10;0,00000572
HLA-A01:100;0,00000002
HLA-A01:106;0,00000034
HLA-A01:11;0,00000614
HLA-A01:12;0,00000413
HLA-A01:123;0,00000002
HLA-A01:13;0,00000312
HLA-A01:136;0,00000252
HLA-A01:14;0,00000603
HLA-A01:15;0,00000000
HLA-A01:16;0,00000614
HLA-A01:17;0,00091561
HLA-A01:18;0,00000614
HLA-A01:19;0,00000022
HLA-A01:198;0,00000002
HLA-A01:20;0,00000038
HLA-A01:208;0,00000002
HLA-A01:220;0,00000002
HLA-A01:229;0,00000002
HLA-A01:23;0,00000407
HLA-A01:24;0,00000037
HLA-A01:247;0,00000004
HLA-A01:25;0,00000714
HLA-A01:26;0,00000028
HLA-A01:27;0,00000000
HLA-A01:28;0,00000047
HLA-A01:29;0,00000002
HLA-A01:30;0,00000028
HLA-A01:33;0,00000006
HLA-A01:36;0,00090132
HLA-A01:38;0,00000100
HLA-A01:39;0,00000004
HLA-A01:40;0,00000032
HLA-A01:43;0,00000018
HLA-A01:44;0,00000102
HLA-A01:57;0,00000002
HLA-A01:61;0,00000002
HLA-A01:66;0,00000001
HLA-A01:67;0,00000002
HLA-A01:68;0,00000002
HLA-A01:69;0,00000002
HLA-A01:72;0,00000004
HLA-A01:86;0,00000186
HLA-A01:91;0,00000034
HLA-A02:01;0,16184374
HLA-A02:02;0,01755416
HLA-A02:03;0,00963330
HLA-A02:04;0,00044517
HLA-A02:05;0,01029085
HLA-A02:06;0,01678571
HLA-A02:07;0,01099981
HLA-A02:08;0,00007531
HLA-A02:09;0,00001266
HLA-A02:10;0,00027508
HLA-A02:101;0,00000055
HLA-A02:102;0,00000045
HLA-A02:103;0,00000008
HLA-A02:104;0,00000121
HLA-A02:105;0,00000012
HLA-A02:106;0,00000008
HLA-A02:107;0,00000004
HLA-A02:108;0,00000016
HLA-A02:11;0,00344913
HLA-A02:110;0,00000424
HLA-A02:112;0,00000009
HLA-A02:114;0,00000021
